chrNo	Region_start	Region_end	NoofWin	Extramzvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742655.1	280000	340000	2	-2.102746295	31	39	"novel_mir_775,miR-2382_bta-miR-2382,miR-2694_cte-miR-2694,miR-4217-3p_cin-miR-4217-3p,ENSAPLT00000015509,ENSAPLT00000015651"	"1,1,1,1,7,8"	"miRNA,miRNA,miRNA,miRNA,<72154+OSTF1,>94558+PCSK5"
KB742655.1	1120000	1160000	1	-2.028454081	6	6	"miR-449c_gga-miR-449c,miR-4933_cel-miR-4933,ENSAPLT00000003744,ENSAPLT00000004552"	"1,1,7,8"	"miRNA,miRNA,<44270-FOCAD,>6798+MLLT3"
KB742655.1	1180000	1280000	4	-2.128747331	11	31	"miR-5000-3p_hsa-miR-5000-3p,ENSAPLT00000004552"	"1,3"	"miRNA,MLLT3"
KB742655.1	1400000	1440000	1	-2.201525777	62	62	ENSAPLT00000004834	2	SLC24A2
KB742655.1	1480000	1560000	3	-2.050208514	46	89	"ENSAPLT00000005027,ENSAPLT00000005055,miR-2686c_cte-miR-2686c,miR-2987_tgu-miR-2987,ENSAPLT00000004834"	"1,1,1,1,3"	"ACER2,RPS6,miRNA,miRNA,SLC24A2"
KB742668.1	520000	560000	1	-4.88606848	6	6	"ENSAPLT00000009525,miR-1399_oan-miR-1399,miR-3110-3p_mmu-miR-3110-3p,miR-4662a-3p_hsa-miR-4662a-3p"	"1,1,1,1"	"MTX2,miRNA,miRNA,miRNA"
KB742685.1	1760000	1820000	2	-4.281463159	12	25	"miR-64a*_crm-miR-64a*,ENSAPLT00000016920"	"1,2"	miRNA
KB742685.1	1860000	1920000	2	-4.27735252	19	36	"ENSAPLT00000000234,miR-3598-5p_cin-miR-3598-5p,ENSAPLT00000016920"	"1,1,2"	miRNA
KB742714.1	1760000	1840000	3	-4.083208522	2	7	"miR-335-3p_hsa-miR-335-3p,miR-1766_gga-miR-1766,ENSAPLT00000002043"	"1,1,8"	"miRNA,miRNA,>119962-ADRA2A"
KB742737.1	20000	60000	1	-2.238231802	11	11	"miR-3416_bmo-miR-3416,novel_mir_1130,ENSAPLT00000008051,miR-4164-3p_cin-miR-4164-3p"	"1,1,5,6"	"miRNA,miRNA,miRNA"
KB742739.1	80000	120000	1	-4.077160604	7	7	ENSAPLT00000012703	3	CLDN10
KB742741.1	180000	220000	1	-2.366687898	3	3	ENSAPLT00000014337	2	MPDZ
KB742741.1	240000	280000	1	-2.219398179	5	5	"ENSAPLT00000014848,novel_mir_192,ENSAPLT00000014337"	"1,1,3"	"miRNA,MPDZ"
KB742764.1	1240000	1380000	6	-4.058750704	1	36	"ENSAPLT00000001826,miR-1487_odi-miR-1487,miR-30c_gga-miR-30c,miR-30c-5p_hsa-miR-30c-5p,miR-4946-5p_dme-miR-4946-5p"	"1,1,1,1,1"	"KCNS3,miRNA,miRNA,miRNA,miRNA"
KB742767.1	440000	480000	1	-2.247028408	8	8	"miR-2733h_bmo-miR-2733h,miR-883*_rno-miR-883*,miR-883a-5p_mmu-miR-883a-5p,ENSAPLT00000011387"	"1,5,5,7"	"miRNA,miRNA,miRNA,<96543+FBXL17"
KB742781.1	1100000	1160000	2	-4.244096794	1	7	"ENSAPLT00000010589,miR-3366_bmo-miR-3366,miR-4076-3p_cin-miR-4076-3p,ENSAPLT00000010442"	"1,1,1,3"	"PLEKHH2,miRNA,miRNA,DYNC2LI1"
KB742781.1	1200000	1240000	1	-5.073827735	2	2	"miR-1682_gga-miR-1682,ENSAPLT00000010987"	"1,2"	"miRNA,THADA"
KB742790.1	0	40000	1	-2.925561862	4	4	"miR-2208a-5p_cel-miR-2208a-5p,miR-973-5p_dme-miR-973-5p,miR-548u_hsa-miR-548u"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742815.1	320000	360000	1	-4.017080614	69	69	"miR-1354*_oan-miR-1354*,miR-729_ola-miR-729,miR-71-5p_cel-miR-71-5p,ENSAPLT00000004742,ENSAPLT00000004750"	"1,1,1,2,2"	"miRNA,miRNA,miRNA,UTRN,UTRN"
KB742833.1	1480000	1560000	3	-4.354343381	83	106	"ENSAPLT00000016666,miR-184-3p_mmu-miR-184-3p,novel_mir_367"	"1,1,6"	"FAM53A,miRNA,miRNA"
KB742834.1	40000	80000	1	-2.030380576	40	40	"miR-5092_hsa-miR-5092,miR-3799_ame-miR-3799,miR-4868c_bfl-miR-4868c"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742834.1	540000	620000	3	-2.151378747	75	97	"miR-4182-3p_cin-miR-4182-3p,ENSAPLT00000000811,ENSAPLT00000000848"	"1,7,8"	"miRNA,<29949-S1PR3,>46225-NXNL2"
KB742834.1	680000	720000	1	-2.099669383	80	80	"ENSAPLT00000014507,miR-3199_hsa-miR-3199,miR-8_cqu-miR-8,miR-204b_tni-miR-204b,miR-2384_bta-miR-2384"	"1,1,1,1,1"	"SPIN,miRNA,miRNA,miRNA,miRNA"
KB742836.1	0	40000	1	-4.800289195	6	6	"miR-1730_gga-miR-1730,miR-2a_aae-miR-2a,ENSAPLT00000001486"	"1,1,8"	"miRNA,miRNA,>71351-MC4R"
KB742836.1	600000	660000	2	-4.477646952	0	2	"miR-3225_bmo-miR-3225,novel_mir_34,miR-1358_oan-miR-1358,miR-3192_hsa-miR-3192"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB742842.1	140000	180000	1	-4.032819701	51	51	"miR-541-3p_hsa-miR-541-3p,miR-287_dya-miR-287,ENSAPLT00000012651,miR-212-3p_mmu-miR-212-3p"	"1,1,2,6"	"miRNA,miRNA,GRIA4,miRNA"
KB742853.1	540000	600000	2	-4.132275518	19	48	"miR-4468_hsa-miR-4468,miR-3777_ame-miR-3777,miR-4715-5p_hsa-miR-4715-5p,ENSAPLT00000013011"	"1,1,1,3"	"miRNA,miRNA,miRNA,PDGFC"
KB742876.1	600000	660000	2	-2.146279394	17	18	"ENSAPLT00000016879,ENSAPLT00000016987,miR-2131_gga-miR-2131,miR-1198-5p_mmu-miR-1198-5p,miR-1337_oan-miR-1337,ENSAPLT00000016305,ENSAPLT00000011938"	"1,1,1,1,1,2,6"	"B4GALT1,SPINK4,miRNA,miRNA,miRNA,APTX"
KB742876.1	680000	720000	1	-2.662891932	6	6	"miR-155-3p_hsa-miR-155-3p,ENSAPLT00000016305"	"1,3"	"miRNA,APTX"
KB742877.1	360000	440000	3	-4.25907746	17	22	"novel_mir_131,miR-2353_bta-miR-2353,miR-4294_hsa-miR-4294,miR-18_oan-miR-18,miR-18b_gga-miR-18b,miR-29a-3p_hsa-miR-29a-3p,miR-29d_bta-miR-29d,novel_mir_773,novel_mir_928,ENSAPLT00000001278,ENSAPLT00000001333"	"1,1,1,1,1,1,1,1,1,7,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,<39506-TMEM170B,>7045+NEDD9"
KB742897.1	20000	60000	1	-2.31732127	77	77	"ENSAPLT00000000415,miR-4548_pma-miR-4548,miR-31-3p_mmu-miR-31-3p,miR-31_cte-miR-31,miR-31-5p_hsa-miR-31-5p,miR-72_cbr-miR-72,miR-72-5p_cel-miR-72-5p,miR-2420_bta-miR-2420,miR-958-5p_dme-miR-958-5p"	"1,1,1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742900.1	20000	60000	1	-2.104252218	3	3	"miR-61a*_sme-miR-61a*,miR-998-5p_dme-miR-998-5p,miR-2742_bmo-miR-2742,ENSAPLT00000013331"	"1,1,1,4"	"miRNA,miRNA,miRNA,PTCH1"
KB742900.1	180000	260000	3	-2.600345233	1	7	"ENSAPLT00000000232,ENSAPLT00000000499,ENSAPLT00000000562,ENSAPLT00000014329,miR-24_cfa-miR-24,miR-24-3p_hsa-miR-24-3p,miR-24b_xtr-miR-24b,miR-24b-3p_ola-miR-24b-3p,miR-3074-5p_hsa-miR-3074-5p,miR-24*_oan-miR-24*,miR-24-2*_aca-miR-24-2*,miR-24-1*_rno-miR-24-1*,miR-24-1-5p_mmu-miR-24-1-5p,miR-3074-1-3p_mmu-miR-3074-1-3p,miR-27a_dre-miR-27a,miR-27a-3p_bta-miR-27a-3p,miR-27b_dre-miR-27b,miR-27b-3p_mmu-miR-27b-3p,miR-27c_xtr-miR-27c,miR-27d_dre-miR-27d,miR-27d-3p_ola-miR-27d-3p,miR-27e_dre-miR-27e,miR-27b*_ssc-miR-27b*,miR-27b-5p_mmu-miR-27b-5p,miR-23a_dre-miR-23a,miR-23a-3p_hsa-miR-23a-3p,miR-23b_dre-miR-23b,miR-23b-3p_mmu-miR-23b-3p,miR-23*_tgu-miR-23*,miR-23b-5p_hsa-miR-23b-5p,miR-3595_rno-miR-3595,miR-1820-3p_cel-miR-1820-3p,miR-61a*_sme-miR-61a*"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742900.1	340000	380000	1	-2.039135483	9	9	ENSAPLT00000014349	3	
KB742924.1	220000	320000	4	-4.33528187	29	117	"miR-1969_mmu-miR-1969,miR-980-3p_dme-miR-980-3p,ENSAPLT00000010487,ENSAPLT00000010518"	"1,1,7,8"	"miRNA,miRNA,<21595-,>107595-NLGN1"
KB742939.1	420000	460000	1	-4.257489724	118	118	"ENSAPLT00000004441,miR-3720_ame-miR-3720,miR-376e-3p_oar-miR-376e-3p,miR-4732-3p_hsa-miR-4732-3p,miR-1479_odi-miR-1479,miR-4716-3p_hsa-miR-4716-3p,miR-234-5p_cel-miR-234-5p,ENSAPLT00000004083"	"1,1,1,1,1,1,1,5"	"ZCRB1,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,PPHLN1"
KB742940.1	1420000	1480000	2	-4.062207993	33	45	"miR-76-3p_cel-miR-76-3p,miR-430a_pma-miR-430a,novel_mir_490,novel_mir_702,novel_mir_812,novel_mir_1174"	"1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742951.1	520000	560000	1	-4.238138485	34	34	"miR-135-2*_aca-miR-135-2*,miR-135a*_rno-miR-135a*,miR-135a-2-3p_mmu-miR-135a-2-3p,ENSAPLT00000004177"	"1,1,1,4"	"miRNA,miRNA,miRNA,GRIK1"
KB742969.1	0	380000	15	-4.165661055	1	8	"ENSAPLT00000000239,ENSAPLT00000001257,ENSAPLT00000011847,miR-1386_oan-miR-1386,miR-20b_aca-miR-20b,miR-495-5p_mmu-miR-495-5p,novel_mir_706,miR-2491-3p_dme-miR-2491-3p,miR-3540_gga-miR-3540,novel_mir_309,miR-4147-3p_cin-miR-4147-3p,novel_mir_1170,novel_mir_200,miR-4118-3p_cin-miR-4118-3p,miR-4135-3p_cin-miR-4135-3p,miR-1800_gga-miR-1800"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"	"TMEM132B,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742969.1	460000	580000	5	-5.42054252	1	7	"ENSAPLT00000001260,miR-383_hsa-miR-383,miR-279d-5p_tca-miR-279d-5p"	"1,1,1"	"miRNA,miRNA"
KB742969.1	600000	1000000	19	-4.700556827	0	6	"ENSAPLT00000012003,ENSAPLT00000012261,ENSAPLT00000012435,miR-1676_gga-miR-1676,novel_mir_706,miR-4181-3p_cin-miR-4181-3p,miR-1581_gga-miR-1581,novel_mir_390,novel_mir_571,miR-3112-5p_mmu-miR-3112-5p,miR-48_crm-miR-48,miR-519d_mml-miR-519d,miR-4135-3p_cin-miR-4135-3p,miR-190_bfl-miR-190,miR-190a_aca-miR-190a,novel_mir_521,novel_mir_583,ENSAPLT00000012672"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4"	"TMEM132C,SLC15A4,GLT1D1,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,TMEM132D"
KB742977.1	660000	700000	1	-5.265532976	3	3	"miR-1839_cfa-miR-1839,miR-797-5p_cel-miR-797-5p,miR-4215-3p_cin-miR-4215-3p,ENSAPLT00000002033,ENSAPLT00000002041"	"1,1,1,7,8"	"miRNA,miRNA,miRNA,<104626+FAM84B,>166364+"
KB742985.1	0	100000	3	-2.024932094	74	103	"ENSAPLT00000007500,miR-1823_cel-miR-1823,miR-959-5p_dme-miR-959-5p,miR-2_ppc-miR-2,miR-3858-5p_tca-miR-3858-5p,miR-969*_dps-miR-969*"	"1,1,1,1,1,1"	"SH3GL2,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743000.1	0	40000	1	-2.474412746	2	2	"miR-3597-3p_rno-miR-3597-3p,miR-9_xtr-miR-9,miR-9a-5p_dme-miR-9a-5p,novel_mir_604"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB743040.1	540000	580000	1	-4.531208256	9	9	"novel_mir_945,miR-661_ptr-miR-661"	"1,1"	"miRNA,miRNA"
KB743048.1	1060000	1100000	1	-2.663271843	11	11	ENSAPLT00000014626	3	NRG1
KB743065.1	120000	160000	1	-5.047153992	2	2	"ENSAPLT00000004940,ENSAPLT00000004992"	"7,8"	"<52389-,>151698+ARPP21"
KB743073.1	940000	980000	1	-4.268414257	22	22	"miR-989b_bmo-miR-989b,novel_mir_157,novel_mir_1219,novel_mir_188,miR-4875d-3p_bfl-miR-4875d-3p,ENSAPLT00000016472"	"1,1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,miRNA,PAPPA2"
KB743100.1	160000	200000	1	-4.486287882	131	131	ENSAPLT00000009526	7	<1019-
KB743104.1	20000	60000	1	-2.00694533	7	7	"miR-1420g*_oan-miR-1420g*,miR-3480-3p_sja-miR-3480-3p"	"1,1"	"miRNA,miRNA"
KB743115.1	20000	60000	1	-2.163386355	2	2	"miR-383-3p_mmu-miR-383-3p,miR-1750_gga-miR-1750,novel_mir_380,miR-4884_bfl-miR-4884"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB743146.1	100000	140000	1	-4.303002127	7	7	"miR-30d*_aca-miR-30d*,miR-30d-3p_hsa-miR-30d-3p,novel_mir_722,novel_mir_599,ENSAPLT00000002396,ENSAPLT00000002582"	"1,1,1,5,7,8"	"miRNA,miRNA,miRNA,miRNA,<5206-MPHOSPH6,>121008+CDH13"
KB743157.1	320000	380000	2	-4.451408426	43	47	"miR-505-3p_mmu-miR-505-3p,miR-3659_hsa-miR-3659,miR-1304-5p_hsa-miR-1304-5p,miR-4454_hsa-miR-4454,ENSAPLT00000013700"	"1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,<97996-ZNF507"
KB743177.1	1280000	1320000	1	-4.449129771	22	22	"miR-4073-3p_cin-miR-4073-3p,miR-495-5p_mmu-miR-495-5p,ENSAPLT00000013864"	"1,1,2"	"miRNA,miRNA,IGF2BP3"
KB743183.1	540000	580000	1	-4.186089108	5	5	"novel_mir_1004,ENSAPLT00000015324"	"1,8"	"miRNA,>6918+FOXG1"
KB743197.1	260000	320000	2	-4.721444012	2	13	"ENSAPLT00000012446,novel_mir_448,novel_mir_978,novel_mir_172,miR-38_cbr-miR-38,miR-4212-3p_cin-miR-4212-3p"	"1,1,1,1,1,1"	"TRAF3,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743197.1	2020000	2100000	3	-4.336629482	25	56	"ENSAPLT00000004708,ENSAPLT00000004984,miR-1691_gga-miR-1691,novel_mir_980,miR-3907_hsa-miR-3907,miR-3503_sja-miR-3503,ENSAPLT00000005593"	"1,1,1,1,1,1,4"	"CYP46A1,miRNA,miRNA,miRNA,miRNA,HHIPL1"
KB743241.1	480000	560000	3	-2.180641524	68	89	"ENSAPLT00000001205,novel_mir_393,miR-423*_rno-miR-423*,miR-4178a-5p_cin-miR-4178a-5p,miR-2444_bta-miR-2444,ENSAPLT00000011376"	"1,1,1,1,1,4"	"RMI1,miRNA,miRNA,miRNA,miRNA"
KB743256.1	1120000	1160000	1	-7.083802578	3	3	"ENSAPLT00000002046,ENSAPLT00000002648,novel_mir_1240,miR-548f_hsa-miR-548f,miR-2263_ppc-miR-2263,ENSAPLT00000002898"	"1,1,1,1,1,4"	"AREL1,FCF1,miRNA,miRNA,miRNA,YLPM1"
KB743402.1	640000	780000	5	-4.175790448	1	46	"miR-601_hsa-miR-601,miR-2955_tgu-miR-2955,miR-344i_mmu-miR-344i,ENSAPLT00000003905"	"1,1,1,8"	"miRNA,miRNA,miRNA,>36384+CCND1"
KB743402.1	800000	860000	2	-4.565807844	1	14	"ENSAPLT00000003905,ENSAPLT00000004136,ENSAPLT00000004392,miR-4599a_pma-miR-4599a,miR-4735-3p_hsa-miR-4735-3p,miR-5550-3p_cel-miR-5550-3p,miR-328-5p_mmu-miR-328-5p,novel_mir_858"	"1,1,1,1,1,1,1,1"	"CCND1,ORAOV1,FGF19,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743426.1	20000	60000	1	-4.080630269	71	71	novel_mir_134	1	miRNA
KB743435.1	20000	60000	1	-4.034450902	13	13	"miR-5693_hsa-miR-5693,miR-1931_mmu-miR-1931,ENSAPLT00000015781"	"1,1,8"	"miRNA,miRNA,>2388+ITPR2"
