ChrNo	Region_start	Region_end	NoofWin	Extram zvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742439.1	80000	100000	1	-5.258398761	65	65	miR-1483-5p_odi-miR-1483-5p	1	miRNA
KB742439.1	440000	470000	2	-8.172650516	67	72	ENSAPLT00000000106	7	<19769+U6
KB742439.1	500000	520000	1	-4.269859919	63	63	ENSAPLT00000000106	7	<79769+U6
KB742439.1	530000	550000	1	-5.369302333	73	73	ENSAPLT00000000106	7	<109769+U6
KB742439.1	880000	900000	1	-4.46910199	45	45	"miR-2255_ppc-miR-2255,miR-3174_hsa-miR-3174,ENSAPLT00000012052,ENSAPLT00000012065"	"1,1,7,8"	"miRNA,miRNA,<126569-,>87842+SPRY2"
KB742439.1	940000	960000	1	-4.897969162	81	81	ENSAPLT00000012065	8	>27842+SPRY2
KB742439.1	970000	1020000	3	-4.481053192	55	64	"ENSAPLT00000012065,miR-3897-5p_tca-miR-3897-5p,miR-126_bta-miR-126,miR-126-3p_mmu-miR-126-3p,miR-126a_dre-miR-126a,miR-1178_hsa-miR-1178"	"1,1,1,1,1,1"	"SPRY2,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742439.1	1250000	1280000	2	-4.515303522	89	109	ENSAPLT00000011876	8	>58340-NDFIP2
KB742443.1	1090000	1110000	1	-4.341335548	105	105	ENSAPLT00000004885	8	>58146+KATNBL1
KB742446.1	280000	300000	1	-4.012382571	70	70	"novel_mir_869,miR-124b*_sme-miR-124b*,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,novel_mir_305,ENSAPLT00000015094"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,BRINP3"
KB742448.1	370000	400000	2	-1.523295779	61	62	"miR-548q_hsa-miR-548q,ENSAPLT00000003990"	"1,6"	miRNA
KB742448.1	410000	450000	3	-1.709473513	66	89	"miR-1487_odi-miR-1487,ENSAPLT00000003990"	"1,2"	miRNA
KB742448.1	470000	490000	1	-1.829915281	143	143	"miR-231_crm-miR-231,ENSAPLT00000003990"	"1,2"	miRNA
KB742448.1	520000	560000	3	-2.622318213	52	59	"miR-5341_rmi-miR-5341,ENSAPLT00000003990,ENSAPLT00000004141"	"1,7,8"	"miRNA,<11741+,>96182+MAST4"
KB742448.1	570000	600000	2	-3.177735982	43	46	"miR-3-3p_dme-miR-3-3p,miR-430b_pma-miR-430b,ENSAPLT00000003990,ENSAPLT00000004141"	"1,1,7,8"	"miRNA,miRNA,<61741+,>56182+MAST4"
KB742448.1	610000	630000	1	-2.42320375	29	29	"ENSAPLT00000003990,ENSAPLT00000004141"	"7,8"	"<101741+,>26182+MAST4"
KB742448.1	680000	700000	1	-3.445115085	28	28	ENSAPLT00000004141	2	MAST4
KB742448.1	750000	800000	3	-2.881340479	10	69	"miR-4697-5p_hsa-miR-4697-5p,novel_mir_930,ENSAPLT00000004838"	"1,1,7"	"miRNA,miRNA,<11367-CD180"
KB742448.1	820000	860000	3	-1.880229027	55	60	"miR-92d*_bfl-miR-92d*,ENSAPLT00000004838,ENSAPLT00000004972"	"1,7,8"	"miRNA,<81367-CD180,>179592+PIK3R1"
KB742448.1	910000	930000	1	-1.993441914	58	58	"ENSAPLT00000004838,ENSAPLT00000004972"	"7,8"	"<171367-CD180,>109592+PIK3R1"
KB742448.1	1170000	1190000	1	-1.79887345	65	65	"novel_mir_967,novel_mir_1005,ENSAPLT00000004972,ENSAPLT00000005590"	"5,5,7,8"	"miRNA,miRNA,<79860+PIK3R1,>30363+MRPS36"
KB742448.1	1360000	1450000	8	-1.733397073	55	153	"ENSAPLT00000006027,miR-1016-5p_dme-miR-1016-5p,miR-548e_hsa-miR-548e,miR-1487_odi-miR-1487,miR-2786_bmo-miR-2786,novel_mir_147,miR-241-3p_cel-miR-241-3p,miR-241-3p_cel-miR-241-3p,ENSAPLT00000005987,ENSAPLT00000006449"	"1,1,1,1,1,1,1,1,3,4"	"SERINC5,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,CDK7,THBS4"
KB742448.1	1520000	1620000	9	-1.512465941	48	121	"ENSAPLT00000007291,novel_mir_134,ENSAPLT00000007921"	"1,1,4"	"CMYA5,miRNA,PAPD4"
KB742448.1	1630000	1660000	2	-1.601477724	90	96	"miR-4155-3p_cin-miR-4155-3p,miR-4515_hsa-miR-4515,ENSAPLT00000007921"	"1,1,3"	"miRNA,miRNA,PAPD4"
KB742448.1	1980000	2000000	1	-3.41530606	74	74	"miR-5110_mmu-miR-5110,ENSAPLT00000009736"	"1,3"	"miRNA,ARSB"
KB742453.1	20000	40000	1	-4.12215504	98	98	miR-4875a-5p_bfl-miR-4875a-5p	6	miRNA
KB742459.1	60000	100000	3	-5.384279556	19	32	"ENSAPLT00000010126,ENSAPLT00000010574"	"7,8"	"<1897+RIBC2,>17928+FBLN1"
KB742459.1	310000	340000	2	-4.49821436	23	29	"miR-1495_odi-miR-1495,ENSAPLT00000010866"	"1,3"	"miRNA,ATXN10"
KB742459.1	580000	610000	2	-4.956203449	19	20	ENSAPLT00000011034	7	<55736-WNT7B
KB742459.1	910000	930000	1	-4.206718391	37	37	"ENSAPLT00000000292,ENSAPLT00000011118"	"7,8"	"<14205+,>7145+PPARA"
KB742459.1	1320000	1340000	1	-4.386147878	41	41	"ENSAPLT00000012592,ENSAPLT00000012594,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885,novel_mir_885"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1"	"BCL2L14,BCL2L14,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742459.1	2060000	2080000	1	-6.619939126	21	21	"miR-301b-5p_ola-miR-301b-5p,ENSAPLT00000013845"	"1,8"	"miRNA,>13796-"
KB742459.1	2140000	2160000	1	-5.187901221	26	26	"miR-4666a-5p_hsa-miR-4666a-5p,ENSAPLT00000013845,ENSAPLT00000013856"	"1,7,8"	"miRNA,<41433-,>130476-"
KB742459.1	2460000	2480000	1	-5.286065505	28	28	"miR-5436-3p_aca-miR-5436-3p,ENSAPLT00000014020"	"1,3"	"miRNA,KLHL42"
KB742469.1	80000	100000	1	-4.232686993	60	60	ENSAPLT00000004813	8	>59307-CRLF2
KB742474.1	80000	100000	1	-1.71808302	130	130	"miR-548av-3p_hsa-miR-548av-3p,novel_mir_915,ENSAPLT00000004180,ENSAPLT00000004181"	"1,1,2,4"	"miRNA,miRNA,FAM172A,FAM172A"
KB742479.1	500000	520000	1	-4.127402076	114	114	ENSAPLT00000014450	2	CDH4
KB742484.1	480000	500000	1	-5.061660284	49	49	ENSAPLT00000012030	8	>48352-FAM84A
KB742484.1	510000	540000	2	-4.1040623	75	85	"miR-4168-3p_cin-miR-4168-3p,miR-27d_dre-miR-27d,ENSAPLT00000012030"	"1,1,8"	"miRNA,miRNA,>8352-FAM84A"
KB742484.1	730000	770000	3	-4.020136804	60	62			
KB742484.1	800000	820000	1	-6.701033683	52	52	miR-468-3p_mmu-miR-468-3p	1	miRNA
KB742504.1	570000	590000	1	-4.183880775	89	89	ENSAPLT00000013128	2	PHEX
KB742513.1	2170000	2200000	2	-4.653933792	96	131	"ENSAPLT00000016966,ENSAPLT00000016974"	"1,1"	"DLX6,DLX5"
KB742522.1	1820000	1840000	1	-4.566593701	31	31	"miR-1679_gga-miR-1679,miR-281_ngi-miR-281,novel_mir_723,ENSAPLT00000012849"	"1,1,1,3"	"miRNA,miRNA,miRNA,MMP23B"
KB742523.1	720000	740000	1	-4.535552913	113	113	ENSAPLT00000001352	1	
KB742539.1	1720000	1740000	1	-5.644562503	41	41	"miR-2997_tgu-miR-2997,miR-3112-3p_mmu-miR-3112-3p"	"1,5"	"miRNA,miRNA"
KB742543.1	130000	150000	1	-4.110329245	85	85			
KB742551.1	290000	310000	1	-4.319542386	153	153	"miR-1694_gga-miR-1694,miR-1694_gga-miR-1694,miR-4449_hsa-miR-4449,ENSAPLT00000012584,ENSAPLT00000012627"	"1,1,1,7,8"	"miRNA,miRNA,miRNA,<2697+SOCS3,>2289-AFMID"
KB742554.1	170000	210000	2	-1.870989193	62	74	"ENSAPLT00000001014,miR-3189-3p_hsa-miR-3189-3p,miR-215*_aca-miR-215*,miR-378e_hsa-miR-378e,ENSAPLT00000003170"	"1,1,1,1,4"	"F2R,miRNA,miRNA,miRNA,IQGAP2"
KB742554.1	220000	240000	1	-1.717228379	105	105	"ENSAPLT00000003170,ENSAPLT00000004601"	"2,4"	"IQGAP2,F2RL2"
KB742554.1	250000	270000	1	-1.667124917	76	76	ENSAPLT00000003170	3	IQGAP2
KB742554.1	280000	300000	1	-1.856816595	48	48	"ENSAPLT00000003170,ENSAPLT00000004610"	"7,8"	"<11344-IQGAP2,>55439-SV2C"
KB742554.1	310000	330000	1	-1.623201405	82	82	"miR-5405*_aca-miR-5405*,ENSAPLT00000003170,ENSAPLT00000004610"	"1,7,8"	"miRNA,<41344-IQGAP2,>25439-SV2C"
KB742554.1	360000	380000	1	-1.844265566	79	79	"miR-3089-3p_mmu-miR-3089-3p,ENSAPLT00000004610"	"1,2"	"miRNA,SV2C"
KB742554.1	390000	410000	1	-1.624065033	82	82	ENSAPLT00000004610	2	SV2C
KB742554.1	1110000	1130000	1	-2.672415153	82	82	ENSAPLT00000001020	7	<40599+ENC1
KB742554.1	1220000	1250000	2	-1.935699198	65	93	"miR-4204-3p_cin-miR-4204-3p,ENSAPLT00000001020,ENSAPLT00000008616"	"1,7,8"	"miRNA,<150599+ENC1,>159161-ARHGEF28"
KB742554.1	1290000	1320000	2	-1.511754034	78	84	"novel_mir_15,miR-279_lgi-miR-279,ENSAPLT00000008616"	"1,1,8"	"miRNA,miRNA,>89161-ARHGEF28"
KB742554.1	1340000	1360000	1	-1.674899276	89	89	"let-7f-2-3p_hsa-let-7f-2-3p,ENSAPLT00000008616"	"1,8"	"miRNA,>49161-ARHGEF28"
KB742554.1	1690000	1740000	3	-1.51133085	91	111	"ENSAPLT00000009473,ENSAPLT00000009476"	"1,1"	"TMEM174,TMEM171"
KB742554.1	1860000	1880000	1	-2.222166652	57	57	"miR-878-5p_mmu-miR-878-5p,ENSAPLT00000010077"	"1,4"	miRNA
KB742554.1	2080000	2100000	1	-1.786950889	119	119	"miR-30d*_aca-miR-30d*,miR-30d-3p_hsa-miR-30d-3p,ENSAPLT00000010766"	"1,1,4"	"miRNA,miRNA,PTCD2"
KB742554.1	2120000	2190000	5	-1.568831003	41	97	"ENSAPLT00000011268,miR-194_pma-miR-194,miR-3153_hsa-miR-3153,ENSAPLT00000011058"	"1,1,1,3"	"miRNA,miRNA,MRPS27"
KB742554.1	2240000	2260000	1	-1.509405178	89	89	"ENSAPLT00000011268,ENSAPLT00000011432"	"7,8"	"<54532-,>102973+TMEM252"
KB742554.1	2300000	2350000	4	-2.017581472	84	178	"novel_mir_1226,ENSAPLT00000011268,ENSAPLT00000011432"	"1,7,8"	"miRNA,<114532-,>12973+TMEM252"
KB742554.1	2460000	2480000	1	-2.057045706	110	110	ENSAPLT00000012737	4	
KB742554.1	2560000	2600000	3	-1.584903762	58	118	"miR-1806_gga-miR-1806,miR-5435c-5p_aca-miR-5435c-5p,ENSAPLT00000013317"	"1,1,2"	"miRNA,miRNA,DOCK8"
KB742554.1	2850000	2880000	2	-2.086609699	44	72	"ENSAPLT00000014443,miR-215*_aca-miR-215*"	"1,1"	"DMRT2,miRNA"
KB742554.1	2930000	2960000	2	-1.913115559	39	50	ENSAPLT00000014443	7	<71113+DMRT2
KB742554.1	2970000	2990000	1	-2.764474754	53	53	"ENSAPLT00000014443,ENSAPLT00000014555"	"7,8"	"<111113+DMRT2,>171074+SMARCA2"
KB742554.1	3150000	3170000	1	-2.156469442	74	74	"miR-5580-3p_hsa-miR-5580-3p,ENSAPLT00000014555"	"1,4"	"miRNA,SMARCA2"
KB742554.1	3220000	3240000	1	-2.878956142	96	96	ENSAPLT00000014555	2	SMARCA2
KB742554.1	3280000	3330000	3	-1.96135005	124	171	"ENSAPLT00000014555,ENSAPLT00000016235"	"7,8"	"<7763+SMARCA2,>69292+VLDLR"
KB742561.1	0	20000	1	-1.530203519	62	62	miR-2464-3p_bta-miR-2464-3p	1	miRNA
KB742561.1	690000	710000	1	-1.710224421	51	51	ENSAPLT00000000440	7	<78180+U4
KB742561.1	770000	790000	1	-2.407523296	68	68	"novel_mir_1226,ENSAPLT00000000440,ENSAPLT00000013313"	"1,7,8"	"miRNA,<158180+U4,>141481+PIK3C3"
KB742561.1	800000	820000	1	-1.779582989	114	114	ENSAPLT00000013313	8	>111481+PIK3C3
KB742561.1	910000	940000	2	-1.530792499	92	115	"miR-276*_cqu-miR-276*,ENSAPLT00000013313,ENSAPLT00000013314"	"1,4,4"	"miRNA,PIK3C3,PIK3C3"
KB742563.1	0	20000	1	-4.635668978	43	43	ENSAPLT00000001815	8	>48795+NGF
KB742567.1	0	20000	1	-8.960273196	81	81			
KB742570.1	380000	400000	1	-4.383205459	123	123	ENSAPLT00000007925	4	PRKX
KB742573.1	30000	50000	1	-2.601078031	46	46	"miR-1659_gga-miR-1659,miR-1550-5p_gga-miR-1550-5p"	"1,1"	"miRNA,miRNA"
KB742573.1	70000	100000	2	-2.644526665	21	46	ENSAPLT00000014582	8	>135434-RASEF
KB742573.1	510000	540000	2	-1.601591909	82	95	"ENSAPLT00000015048,novel_mir_434,miR-2944b*_aae-miR-2944b*,miR-3531_gga-miR-3531,miR-1610_gga-miR-1610,ENSAPLT00000015091"	"1,1,1,1,1,6"	"miRNA,miRNA,miRNA,miRNA,GKAP1"
KB742581.1	80000	100000	1	-9.245079676	43	43			
KB742583.1	80000	100000	1	-2.377182711	56	56	ENSAPLT00000011317	2	FER
KB742602.1	10000	30000	1	-1.625553613	129	129	ENSAPLT00000009483	4	C7
KB742602.1	110000	130000	1	-1.567559391	102	102	"miR-4786-3p_hsa-miR-4786-3p,ENSAPLT00000010667"	"1,4"	"miRNA,PLCXD3"
KB742611.1	570000	590000	1	-5.999050568	66	66	"novel_mir_829,novel_mir_746,ENSAPLT00000016746"	"1,1,2"	"miRNA,miRNA,MYT1L"
KB742611.1	1690000	1710000	1	-4.529653369	91	91	miR-3885-3p_tca-miR-3885-3p	6	miRNA
KB742613.1	300000	320000	1	-2.210509843	103	103	ENSAPLT00000009251	1	FYB
KB742613.1	330000	380000	4	-1.695980426	83	143	"ENSAPLT00000009361,ENSAPLT00000009668,miR-1421q_oan-miR-1421q"	"1,1,1"	"C9,DAB2,miRNA"
KB742613.1	410000	430000	1	-1.629792602	137	137	ENSAPLT00000009668	7	<34706-DAB2
KB742613.1	500000	530000	2	-2.399498386	35	39	ENSAPLT00000009668	7	<124706-DAB2
KB742617.1	1270000	1290000	1	-5.4098047	55	55	"miR-5587-3p_hsa-miR-5587-3p,ENSAPLT00000003035,ENSAPLT00000003051"	"1,7,8"	"miRNA,<68956-,>85581+CCND2"
KB742619.1	570000	590000	1	-4.550383352	75	75	"ENSAPLT00000003660,ENSAPLT00000004290"	"7,8"	"<40203+PDGFRA,>30964+KIT"
KB742619.1	700000	720000	1	-4.104108261	94	94	"novel_mir_877,novel_mir_948,ENSAPLT00000004290,ENSAPLT00000005923"	"1,1,7,8"	"miRNA,miRNA,<41394+KIT,>3466-KDR"
KB742629.1	1720000	1740000	1	-5.208770763	44	44	"novel_mir_397,novel_mir_632,novel_mir_953"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742632.1	750000	770000	1	-1.511941673	86	86	"miR-5045_gpy-miR-5045,ENSAPLT00000009693"	"1,7"	"miRNA,<105919-RNF180"
KB742632.1	790000	810000	1	-1.57128025	82	82	"novel_mir_1211,ENSAPLT00000009693"	"1,7"	"miRNA,<145919-RNF180"
KB742632.1	1260000	1290000	2	-2.438251169	56	58	ENSAPLT00000009960	3	
KB742634.1	40000	60000	1	-1.672651423	61	61	"ENSAPLT00000005236,miR-492_ptr-miR-492"	"2,6"	miRNA
KB742634.1	140000	160000	1	-2.456934651	130	130	"ENSAPLT00000005236,ENSAPLT00000005793"	"7,8"	"<52667-,>43687+"
KB742636.1	50000	70000	1	-4.403826439	96	96			
KB742636.1	80000	100000	1	-4.854649702	85	85	novel_mir_434	1	miRNA
KB742636.1	140000	160000	1	-4.769804928	79	79			
KB742636.1	170000	190000	1	-4.878148436	103	103			
KB742636.1	210000	230000	1	-4.347605835	55	55			
KB742637.1	340000	360000	1	-4.787100339	210	210	"ENSAPLT00000012204,miR-3594-5p_rno-miR-3594-5p,miR-346-3p_mmu-miR-346-3p,ENSAPLT00000012251,ENSAPLT00000011928"	"1,1,1,4,5"	"miRNA,miRNA,MFSD2A,TRIT1"
KB742640.1	0	20000	1	-6.146842193	79	79	"novel_mir_594,miR-3015a_api-miR-3015a,ENSAPLT00000003674"	"1,1,4"	"miRNA,miRNA"
KB742640.1	30000	50000	1	-2.415444505	92	92	"miR-4163-3p_cin-miR-4163-3p,ENSAPLT00000003674,ENSAPLT00000003675"	"1,7,8"	"miRNA,<7133-,>14120-"
KB742640.1	190000	280000	7	-1.630393616	81	106	"ENSAPLT00000004171,ENSAPLT00000004287,miR-10c_dre-miR-10c,miR-2440_bta-miR-2440,miR-2452_bta-miR-2452,miR-34b*_aca-miR-34b*,miR-338*_rno-miR-338*,miR-4480_hsa-miR-4480,miR-3805a-5p_tca-miR-3805a-5p,miR-2452_bta-miR-2452,ENSAPLT00000004288,miR-3567_rno-miR-3567"	"1,1,1,1,1,1,1,1,1,1,4,5"	"ERMP1,RIC1,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,RIC1,miRNA"
KB742640.1	310000	330000	1	-2.112858982	83	83	"ENSAPLT00000004801,miR-4818c_sko-miR-4818c,novel_mir_828,miR-1890_aga-miR-1890,ENSAPLT00000004288"	"1,1,1,1,2"	"CD274,miRNA,miRNA,miRNA,RIC1"
KB742643.1	60000	80000	1	-1.592799116	124	124	"novel_mir_306,miR-578_hsa-miR-578,ENSAPLT00000015811,ENSAPLT00000015978"	"1,1,7,8"	"miRNA,miRNA,<20776+ZNF474,>29515+SNCAIP"
KB742643.1	670000	690000	1	-1.590392747	104	104	ENSAPLT00000003100	2	CSNK1G3
KB742643.1	750000	770000	1	-1.897338404	71	71	ENSAPLT00000003100	7	<51910+CSNK1G3
KB742648.1	470000	490000	1	-4.022070029	130	130	"miR-483-3p_hsa-miR-483-3p,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,novel_mir_889,ENSAPLT00000016633"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,<23441-"
KB742648.1	580000	600000	1	-4.4981948	139	139	"ENSAPLT00000016633,ENSAPLT00000016642"	"7,8"	"<133441-,>75740-GPR37"
KB742652.1	980000	1010000	2	-1.662964001	104	129	"miR-1304_ppy-miR-1304,ENSAPLT00000013611"	"1,8"	"miRNA,>165629-TMEM38B"
KB742652.1	1150000	1170000	1	-1.589561027	171	171	ENSAPLT00000013611	8	>5629-TMEM38B
KB742655.1	370000	390000	1	-1.713498423	153	153	"miR-503-5p_mmu-miR-503-5p,ENSAPLT00000015509,ENSAPLT00000015651"	"1,7,8"	"miRNA,<162154+OSTF1,>44558+PCSK5"
KB742655.1	540000	570000	2	-1.57583209	105	134	"miR-4116-5p_cin-miR-4116-5p,ENSAPLT00000015651"	"1,2"	"miRNA,PCSK5"
KB742655.1	620000	650000	2	-2.574297009	83	84	"miR-3535_gga-miR-3535,miR-4791_hsa-miR-4791,ENSAPLT00000015651"	"1,1,2"	"miRNA,miRNA,PCSK5"
KB742655.1	970000	990000	1	-1.505746645	149	149	"miR-958-5p_dme-miR-958-5p,ENSAPLT00000003744,miR-4000d-5p_cin-miR-4000d-5p"	"1,2,5"	"miRNA,FOCAD,miRNA"
KB742655.1	1030000	1050000	1	-2.176782683	177	177	"miR-13a-5p_dme-miR-13a-5p,miR-2b-1-5p_dme-miR-2b-1-5p,ENSAPLT00000003744"	"1,1,2"	"miRNA,miRNA,FOCAD"
KB742655.1	1270000	1300000	2	-1.518152449	111	144	"ENSAPLT00000004552,ENSAPLT00000004834"	"7,8"	"<29431+MLLT3,>87659+SLC24A2"
KB742655.1	1520000	1540000	1	-2.630569763	112	112	ENSAPLT00000005027	4	ACER2
KB742655.1	1630000	1660000	2	-1.684699257	179	282	"ENSAPLT00000005454,ENSAPLT00000005975"	"7,8"	"<15331-DENND4C,>18152+PLIN2"
KB742655.1	1680000	1700000	1	-1.582650951	163	163	"ENSAPLT00000000233,miR-87a*_asu-miR-87a*,miR-2310_bta-miR-2310,ENSAPLT00000005975,ENSAPLT00000006293"	"1,1,1,3,4"	"SCARNA8,miRNA,miRNA,PLIN2,HAUS6"
KB742655.1	1860000	1890000	2	-1.502518983	115	134	"miR-2857_bmo-miR-2857,ENSAPLT00000006867"	"1,2"	miRNA
KB742655.1	1970000	1990000	1	-1.698359931	125	125	ENSAPLT00000002263	7	<1233+
KB742655.1	2010000	2050000	3	-2.152679315	114	173	"miR-4444_hsa-miR-4444,miR-3495_sja-miR-3495,ENSAPLT00000002263"	"1,1,7"	"miRNA,miRNA,<41233+"
KB742655.1	2080000	2120000	2	-1.713662121	102	233	ENSAPLT00000002263	7	<111233+
KB742667.1	0	20000	1	-4.421956622	144	144	ENSAPLT00000003392	1	
KB742668.1	1410000	1440000	2	-5.756018796	11	14	"miR-276c_dps-miR-276c,ENSAPLT00000014588"	"1,4"	"miRNA,TTN"
KB742668.1	1920000	1940000	1	-4.392837189	82	82	ENSAPLT00000003800	2	ZNF385B
KB742685.1	1720000	1750000	2	-5.067339187	63	109	"novel_mir_278,ENSAPLT00000016920"	"1,2"	miRNA
KB742685.1	3530000	3550000	1	-4.335545128	82	82	novel_mir_832	1	miRNA
KB742690.1	1000000	1020000	1	-4.01190516	33	33	ENSAPLT00000008487	1	LSM5
KB742690.1	1450000	1470000	1	-4.652167073	21	21	"ENSAPLT00000009378,ENSAPLT00000009382,ENSAPLT00000009392"	"4,4,4"	"CCDC129,CCDC129,CCDC129"
KB742690.1	1510000	1530000	1	-4.336133945	27	27	"miR-561_ptr-miR-561,ENSAPLT00000009392,ENSAPLT00000009555"	"1,7,8"	"miRNA,<14551-CCDC129,>47893+NEUROD6"
KB742690.1	1840000	1870000	2	-4.211153969	31	41	"novel_mir_71,ENSAPLT00000009697,miR-752-3p_sme-miR-752-3p"	"1,2,5"	"miRNA,ITGA9,miRNA"
KB742690.1	1900000	1920000	1	-4.350338284	24	24	"miR-1422i_oan-miR-1422i,ENSAPLT00000010647"	"1,2"	"miRNA,GOLGA4"
KB742702.1	300000	330000	2	-4.628184237	19	20	"miR-3860-5p_tca-miR-3860-5p,ENSAPLT00000010097"	"1,2"	"miRNA,EEPD1"
KB742702.1	670000	690000	1	-4.650159772	28	28	"ENSAPLT00000010925,ENSAPLT00000011528"	"7,8"	"<133887+HERPUD2,>48578+TBX20"
KB742702.1	950000	970000	1	-6.510733102	38	38	"ENSAPLT00000011952,miR-449b_gga-miR-449b,novel_mir_297,miR-195-5p_mmu-miR-195-5p,novel_mir_646"	"1,1,1,1,6"	"miRNA,miRNA,miRNA,miRNA"
KB742716.1	20000	40000	1	-4.623155397	17	17	"ENSAPLT00000000454,miR-1184_hsa-miR-1184,ENSAPLT00000003877"	"1,1,3"	"U1,miRNA"
KB742718.1	50000	70000	1	-6.260433784	30	30	"ENSAPLT00000000155,miR-2731_bmo-miR-2731,ENSAPLT00000001219"	"1,1,2"	"miRNA,GLB1"
