chrNo	Region_start	Region_end	NoofWin	Extram zvalue	MinNoSNP	MaxNoSNP	Transcipt	Overlap code	GeneID
KB742581.1	260000	360000	4	4.11857565	695	986	"miR-71*_bmo-miR-71*,miR-4768-5p_hsa-miR-4768-5p,miR-784-3p_cel-miR-784-3p,miR-1645_gga-miR-1645"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB742602.1	340000	420000	3	2.264663794	508	824	"ENSAPLT00000011898,ENSAPLT00000011920,miR-2038_nve-miR-2038,novel_mir_24,ENSAPLT00000010885"	"1,1,1,1,3"	"C5orf51,FBXO4,miRNA,miRNA"
KB742602.1	440000	520000	3	2.219668472	561	630	"miR-2276_hsa-miR-2276,novel_mir_1100,miR-317-5p_tca-miR-317-5p,miR-4537_hsa-miR-4537,miR-4110-5p_cin-miR-4110-5p,ENSAPLT00000011920,ENSAPLT00000012220"	"1,1,1,1,1,7,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,<72874+FBXO4,>57815+GHR"
KB742619.1	620000	660000	1	4.05568426	929	929	"ENSAPLT00000004290,miR-1422k-5p_oan-miR-1422k-5p"	"1,1"	"KIT,miRNA"
KB742655.1	1020000	1080000	2	2.147995908	868	938	"miR-13a-5p_dme-miR-13a-5p,miR-2b-1-5p_dme-miR-2b-1-5p,ENSAPLT00000003744"	"1,1,3"	"miRNA,miRNA,FOCAD"
KB742655.1	1180000	1220000	1	2.010942581	535	535	"miR-5000-3p_hsa-miR-5000-3p,ENSAPLT00000004552"	"1,2"	"miRNA,MLLT3"
KB742668.1	1400000	1460000	2	4.407933201	199	311	"miR-276c_dps-miR-276c,ENSAPLT00000013638,ENSAPLT00000014588"	"1,3,4"	"miRNA,PLEKHA3,TTN"
KB742716.1	0	60000	2	4.72123266	160	204	"ENSAPLT00000000454,ENSAPLT00000003877,miR-2154_sme-miR-2154,miR-1184_hsa-miR-1184,novel_mir_215,miR-64_cbr-miR-64,miR-3108-3p_mmu-miR-3108-3p,miR-3108-3p_mmu-miR-3108-3p"	"1,1,1,1,1,1,1,1"	"U1,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742737.1	0	40000	1	3.026307807	406	406	"ENSAPLT00000008051,miR-4018b-3p_cin-miR-4018b-3p,miR-3416_bmo-miR-3416"	"1,1,1"	"miRNA,miRNA"
KB742742.1	220000	280000	2	2.246299785	336	349	"miR-3157-5p_hsa-miR-3157-5p,miR-503_cfa-miR-503,novel_mir_1161,novel_mir_76,miR-515-5p_hsa-miR-515-5p,miR-5445_aca-miR-5445,miR-4953-3p_dme-miR-4953-3p,ENSAPLT00000015063"	"1,1,1,1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,PARP8"
KB742746.1	320000	380000	2	2.093142956	147	171	"miR-4178a-5p_cin-miR-4178a-5p,ENSAPLT00000015215"	"1,7"	"miRNA,<161766+CAAP1"
KB742746.1	420000	460000	1	2.117220644	150	150	miR-2213-3p_cel-miR-2213-3p	1	miRNA
KB742769.1	0	60000	2	7.074664002	42	67	"ENSAPLT00000000326,ENSAPLT00000016690,ENSAPLT00000016704,miR-3689f_hsa-miR-3689f,novel_mir_33,miR-4650-3p_hsa-miR-4650-3p,miR-4203-3p_cin-miR-4203-3p,miR-3158-3p_hsa-miR-3158-3p,miR-2238c_ppc-miR-2238c"	"1,1,1,1,1,1,1,1,1"	"SNORD121A,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742772.1	0	40000	1	4.243556857	541	541	"miR-454a_dre-miR-454a,novel_mir_572,miR-3862-5p_tca-miR-3862-5p,miR-3173-3p_hsa-miR-3173-3p,ENSAPLT00000012376"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,PDCD6IP"
KB742785.1	640000	700000	2	4.157299819	409	440	"miR-1747_gga-miR-1747,novel_mir_901,novel_mir_178,ENSAPLT00000001628"	"1,1,1,8"	"miRNA,miRNA,miRNA,>18906+"
KB742785.1	760000	820000	2	4.558108828	341	354	"miR-509-3p_hsa-miR-509-3p,ENSAPLT00000001628,ENSAPLT00000013625"	"6,7,8"	"miRNA,<40972+,>118090-PLA2G4A"
KB742785.1	1020000	1060000	1	4.294967629	304	304	"ENSAPLT00000013625,ENSAPLT00000014480"	"3,4"	"PLA2G4A,PTGS2"
KB742785.1	1100000	1140000	1	4.448550544	130	130	"novel_mir_545,ENSAPLT00000014480"	"5,7"	"miRNA,<39416+PTGS2"
KB742796.1	0	40000	1	4.208781583	316	316	novel_mir_577	6	miRNA
KB742815.1	260000	300000	1	4.038093451	1488	1488	"miR-5398-3p_aca-miR-5398-3p,miR-3338*_bmo-miR-3338*,miR-142b-5p_dre-miR-142b-5p,ENSAPLT00000004742,ENSAPLT00000004750"	"1,1,1,2,2"	"miRNA,miRNA,miRNA,UTRN,UTRN"
KB742818.1	960000	1000000	1	4.258614421	1646	1646	"miR-1422f_oan-miR-1422f,miR-2430_bta-miR-2430,ENSAPLT00000002494"	"1,1,3"	"miRNA,miRNA"
KB742833.1	1480000	1520000	1	4.218140988	1514	1514	ENSAPLT00000016666	4	FAM53A
KB742836.1	0	60000	2	4.13312455	1631	1651	"miR-1730_gga-miR-1730,miR-2a_aae-miR-2a,ENSAPLT00000001486"	"1,1,8"	"miRNA,miRNA,>51351-MC4R"
KB742836.1	800000	860000	2	4.427560307	619	680	"miR-92a-1*_oan-miR-92a-1*,miR-92a-2-5p_hsa-miR-92a-2-5p,miR-4100-5p_cin-miR-4100-5p"	"1,1,1"	"miRNA,miRNA,miRNA"
KB742836.1	900000	960000	2	4.136581054	601	671	"miR-3591-5p_hsa-miR-3591-5p,miR-737_dre-miR-737"	"1,1"	"miRNA,miRNA"
KB742836.1	1040000	1140000	3	4.416835509	944	1013	novel_mir_96	1	miRNA
KB742837.1	20000	100000	3	2.572363263	39	276	"ENSAPLT00000015086,miR-430a_pma-miR-430a,miR-326*_rno-miR-326*,miR-1819-5p_cel-miR-1819-5p,miR-2570*_dps-miR-2570*,miR-1773*_gga-miR-1773*,miR-278_bfl-miR-278,miR-4115-3p_cin-miR-4115-3p"	"1,1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742838.1	0	60000	2	4.061752739	98	208	ENSAPLT00000009975	1	SETBP1
KB742872.1	0	40000	1	4.046142519	533	533	"novel_mir_211,miR-iab-4_isc-miR-iab-4,miR-2337_bta-miR-2337,miR-4287_hsa-miR-4287"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB742872.1	100000	160000	2	4.653412537	530	671	"novel_mir_1139,novel_mir_837,miR-5680_hsa-miR-5680,miR-2424_bta-miR-2424,miR-208b-3p_rno-miR-208b-3p,miR-1577_gga-miR-1577,miR-4768-5p_hsa-miR-4768-5p"	"1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742876.1	0	40000	1	3.187387613	163	163	"miR-3057-3p_mmu-miR-3057-3p,miR-71b*_sme-miR-71b*"	"1,1"	"miRNA,miRNA"
KB742876.1	660000	700000	1	2.389496985	363	363	"ENSAPLT00000011938,miR-4436b-5p_hsa-miR-4436b-5p,miR-4673_hsa-miR-4673,miR-155-3p_hsa-miR-155-3p,ENSAPLT00000016305"	"1,1,1,1,2"	"miRNA,miRNA,miRNA,APTX"
KB742877.1	240000	280000	1	4.249592624	156	156	"miR-434-3p_mmu-miR-434-3p,miR-2062*_bfl-miR-2062*,ENSAPLT00000001385,ENSAPLT00000001177"	"1,1,7,8"	"miRNA,miRNA,<92171+CX3CR1,>13296+CCK"
KB742877.1	300000	360000	2	4.943626201	679	811	"ENSAPLT00000001278,novel_mir_139,miR-216c_cte-miR-216c,novel_mir_908,miR-1420g_oan-miR-1420g,novel_mir_131"	"1,1,1,1,1,6"	"TMEM170B,miRNA,miRNA,miRNA,miRNA,miRNA"
KB742895.1	0	420000	20	4.667674583	612	997	"ENSAPLT00000006597,ENSAPLT00000006694,ENSAPLT00000006818,ENSAPLT00000006895,ENSAPLT00000007018,ENSAPLT00000007067,ENSAPLT00000007238,miR-4251_hsa-miR-4251,novel_mir_909,miR-620_hsa-miR-620,novel_mir_1160,novel_mir_75,miR-3754_ame-miR-3754,miR-3825-5p_tca-miR-3825-5p,miR-1551*_gga-miR-1551*,miR-19a*_dre-miR-19a*,miR-19a-5p_hsa-miR-19a-5p,miR-2778a-4*_bmo-miR-2778a-4*,miR-1551*_gga-miR-1551*,miR-3825-5p_tca-miR-3825-5p,ENSAPLT00000007366"	"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4"	"RAI14,RAD1,BRIX1,DNAJC21,AGXT2,PRLR,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,SPEF2"
KB742900.1	0	40000	1	2.065686384	501	501	"miR-19a-5p_hsa-miR-19a-5p,miR-61a*_sme-miR-61a*,ENSAPLT00000013331"	"1,1,4"	"miRNA,miRNA,PTCH1"
KB742918.1	660000	700000	1	2.169021453	559	559	"ENSAPLT00000010284,miR-4555_pma-miR-4555"	"2,6"	"TRPM3,miRNA"
KB742931.1	3320000	3380000	2	4.18562197	1002	1061	"ENSAPLT00000000545,miR-4564_pma-miR-4564"	"1,1"	miRNA
KB742931.1	3560000	3600000	1	4.065740158	668	668	ENSAPLT00000001184	7	<4193-
KB742931.1	3840000	3880000	1	4.261800878	1143	1143	"miR-4141-5p_cin-miR-4141-5p,miR-4666a-3p_hsa-miR-4666a-3p,miR-2826_bmo-miR-2826,novel_mir_606,ENSAPLT00000010078"	"1,1,1,1,8"	"miRNA,miRNA,miRNA,miRNA,>141014-"
KB742969.1	40000	80000	1	4.17242413	285	285	"ENSAPLT00000000239,miR-495-5p_mmu-miR-495-5p,novel_mir_706,ENSAPLT00000011847"	"1,1,1,2"	"miRNA,miRNA,TMEM132B"
KB742969.1	160000	220000	2	4.168789279	248	257	"ENSAPLT00000001257,miR-4147-3p_cin-miR-4147-3p,ENSAPLT00000011847"	"1,1,3"	"miRNA,TMEM132B"
KB742969.1	380000	440000	2	4.090634043	394	420	"miR-1994b_lgi-miR-1994b,miR-495-5p_mmu-miR-495-5p,ENSAPLT00000011847,ENSAPLT00000001260"	"1,1,7,8"	"miRNA,miRNA,<169759+TMEM132B,>101651+"
KB742969.1	780000	840000	2	4.048851528	653	729	ENSAPLT00000012003	3	TMEM132C
KB742977.1	580000	700000	5	4.152662563	1159	1398	"miR-3691-3p_hsa-miR-3691-3p,miR-2300b-3p_bta-miR-2300b-3p,miR-1839_cfa-miR-1839,miR-797-5p_cel-miR-797-5p,miR-4215-3p_cin-miR-4215-3p,ENSAPLT00000002033,ENSAPLT00000002041"	"1,1,1,1,1,7,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,<24626+FAM84B,>166364+"
KB742984.1	3420000	3480000	2	4.283697878	1406	1586	"miR-2451_bta-miR-2451,ENSAPLT00000011198"	"1,4"	"miRNA,PLCG2"
KB742986.1	220000	260000	1	2.014886272	89	89	"miR-1421z_oan-miR-1421z,miR-146c*_gga-miR-146c*"	"1,1"	"miRNA,miRNA"
KB743013.1	460000	500000	1	4.010679576	2013	2013	"miR-3079-5p_mmu-miR-3079-5p,miR-1342_oan-miR-1342,miR-77_crm-miR-77,miR-344d-3p_mmu-miR-344d-3p,ENSAPLT00000007416"	"1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA"
KB743019.1	40000	80000	1	8.235826117	226	226	"miR-454-3p_hsa-miR-454-3p,miR-454b_dre-miR-454b,miR-1687*_gga-miR-1687*,miR-3470a_mmu-miR-3470a,miR-8b_sme-miR-8b,novel_mir_608,ENSAPLT00000004671"	"1,1,1,1,1,1,4"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,APPL1"
KB743025.1	0	60000	2	4.467559599	748	817	"miR-3063-5p_mmu-miR-3063-5p,miR-433-5p_mmu-miR-433-5p,miR-4045-5p_cin-miR-4045-5p,miR-4768-3p_hsa-miR-4768-3p,miR-218a-1*_rno-miR-218a-1*"	"1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA"
KB743027.1	140000	200000	2	2.325609824	784	849	"miR-4210-5p_cin-miR-4210-5p,miR-516b-5p_hsa-miR-516b-5p,miR-1681_gga-miR-1681"	"1,1,5"	"miRNA,miRNA,miRNA"
KB743027.1	300000	360000	2	2.203992992	351	676	"novel_mir_113,novel_mir_423,novel_mir_960"	"1,1,1"	"miRNA,miRNA,miRNA"
KB743033.1	0	40000	1	4.704110821	610	610	"miR-2072_bfl-miR-2072,miR-2a-2*_sme-miR-2a-2*,miR-2297_bta-miR-2297"	"1,1,1"	"miRNA,miRNA,miRNA"
KB743033.1	60000	120000	2	4.00104044	546	751	"novel_mir_349,novel_mir_737"	"1,1"	"miRNA,miRNA"
KB743040.1	2480000	2560000	3	4.345066174	1211	1366	"ENSAPLT00000008821,ENSAPLT00000008869,miR-376e-3p_oar-miR-376e-3p,miR-4486_hsa-miR-4486,miR-2529_dps-miR-2529,novel_mir_1201,miR-2986_tgu-miR-2986,ENSAPLT00000008612"	"1,1,1,1,1,1,1,3"	"PSME4,PSME4,miRNA,miRNA,miRNA,miRNA,miRNA,ACYP2"
KB743078.1	80000	120000	1	4.4437196	509	509	"miR-3942-3p_hsa-miR-3942-3p,miR-4976-3p_dme-miR-4976-3p,miR-4633-3p_hsa-miR-4633-3p"	"1,1,1"	"miRNA,miRNA,miRNA"
KB743096.1	0	60000	2	4.416337497	759	843	"miR-34a-5p_hsa-miR-34a-5p,miR-2525_dps-miR-2525,miR-1808_gga-miR-1808,miR-449c*_aca-miR-449c*"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB743133.1	20000	220000	8	4.32697752	180	355	"miR-4819*_sko-miR-4819*,miR-556-5p_hsa-miR-556-5p,miR-3327_bmo-miR-3327,miR-973-5p_dme-miR-973-5p,miR-5355*_asu-miR-5355*,miR-190b-3p_mmu-miR-190b-3p,miR-4421_hsa-miR-4421,miR-4084-5p_cin-miR-4084-5p,novel_mir_26,miR-3304a_bmo-miR-3304a"	"1,1,1,1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743139.1	560000	600000	1	4.232737447	1085	1085	"ENSAPLT00000006564,ENSAPLT00000006615"	"1,1"	SLC7A9
KB743143.1	440000	480000	1	2.304682631	490	490	"ENSAPLT00000008515,miR-4198-5p_cin-miR-4198-5p,miR-4066-3p_cin-miR-4066-3p,miR-544_rno-miR-544,miR-29a-1*_aca-miR-29a-1*"	"1,1,1,1,1"	"HABP4,miRNA,miRNA,miRNA,miRNA"
KB743146.1	100000	140000	1	4.551989215	1103	1103	"miR-30d*_aca-miR-30d*,miR-30d-3p_hsa-miR-30d-3p,novel_mir_722,novel_mir_599,ENSAPLT00000002396,ENSAPLT00000002582"	"1,1,1,5,7,8"	"miRNA,miRNA,miRNA,miRNA,<5206-MPHOSPH6,>121008+CDH13"
KB743149.1	120000	160000	1	4.883441997	171	171	"miR-4716-3p_hsa-miR-4716-3p,ENSAPLT00000008078,ENSAPLT00000008269"	"1,7,8"	"miRNA,<22435-PHF21B,>65354-"
KB743152.1	20000	100000	3	2.003222825	666	722	"miR-2695_cte-miR-2695,miR-8b_sme-miR-8b,miR-2686c_cte-miR-2686c,novel_mir_553,miR-963-3p_dme-miR-963-3p,miR-1784_tgu-miR-1784,ENSAPLT00000006348"	"1,1,1,1,1,5,8"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,>37599+ERCC6L2"
KB743157.1	0	40000	1	6.854592162	203	203	"ENSAPLT00000011896,ENSAPLT00000011900,miR-63e_ppc-miR-63e,miR-2253a_ppc-miR-2253a,ENSAPLT00000012276"	"1,1,1,1,4"	"TDRD12,TDRD12,miRNA,miRNA,NUDT19"
KB743157.1	80000	140000	2	5.697584115	150	188	"ENSAPLT00000013111,miR-1790_gga-miR-1790,ENSAPLT00000012393,ENSAPLT00000013283"	"1,1,3,4"	"PDCD5,miRNA,ANKRD27"
KB743170.1	40000	100000	2	2.336666305	343	400	"miR-4645-5p_hsa-miR-4645-5p,miR-4772-5p_hsa-miR-4772-5p,ENSAPLT00000012953"	"1,1,4"	"miRNA,miRNA,TLE1"
KB743183.1	20000	100000	3	4.038364048	345	409	"miR-5599*_cin-miR-5599*,miR-1780_gga-miR-1780,miR-511-5p_mmu-miR-511-5p"	"1,1,1"	"miRNA,miRNA,miRNA"
KB743232.1	80000	120000	1	2.284708775	577	577	miR-130d_pma-miR-130d	1	miRNA
KB743236.1	20000	60000	1	4.204041988	330	330	"miR-4828a_sko-miR-4828a,miR-92c-5p_tca-miR-92c-5p,miR-4166-5p_cin-miR-4166-5p"	"1,1,1"	"miRNA,miRNA,miRNA"
KB743242.1	0	60000	2	3.574384047	24	108	"ENSAPLT00000012098,miR-4314_hsa-miR-4314,miR-20_xla-miR-20,miR-20a_ola-miR-20a,miR-20a-5p_hsa-miR-20a-5p,novel_mir_1095,miR-200b*_oan-miR-200b*,miR-200b-5p_mmu-miR-200b-5p,novel_mir_44"	"1,1,1,1,1,1,1,1,1"	"KIAA1045,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743316.1	1020000	1060000	1	4.021749596	552	552	ENSAPLT00000007504	3	ROBO2
KB743335.1	320000	380000	2	4.457875549	666	724	"ENSAPLT00000017049,miR-4112-3p_cin-miR-4112-3p,ENSAPLT00000017065"	"1,1,6"	"ERCC6,miRNA"
KB743391.1	360000	420000	2	4.773294345	239	306	"miR-513c_age-miR-513c,miR-669d-5p_mmu-miR-669d-5p,miR-3125_hsa-miR-3125,ENSAPLT00000010855"	"1,1,1,3"	"miRNA,miRNA,miRNA,STAC"
KB743403.1	0	40000	1	4.093819441	959	959	"ENSAPLT00000009151,ENSAPLT00000009732,ENSAPLT00000009757,miR-1621*_gga-miR-1621*,miR-267_cel-miR-267,miR-1908_hsa-miR-1908,miR-3550_rno-miR-3550,miR-4436b-5p_hsa-miR-4436b-5p,miR-2748_bmo-miR-2748,miR-5100_mmu-miR-5100,ENSAPLT00000009898"	"1,1,1,1,1,1,1,1,1,1,6"	"SHC1,FLAD1,DCST2,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,DCST1"
KB743413.1	420000	460000	1	4.462189786	1176	1176	"novel_mir_180,miR-3484-5p_sja-miR-3484-5p,ENSAPLT00000008982"	"1,1,2"	"miRNA,miRNA,TRIO"
KB743422.1	240000	280000	1	4.019210143	1736	1736	"miR-4982-5p_dme-miR-4982-5p,novel_mir_851,miR-4922_cel-miR-4922,ENSAPLT00000000523"	"1,1,1,8"	"miRNA,miRNA,miRNA,>163100-U1"
KB743435.1	940000	1000000	2	4.015216967	132	169	"ENSAPLT00000017126,novel_mir_158,novel_mir_672,miR-2410_bta-miR-2410,miR-3885-3p_tca-miR-3885-3p"	"1,1,1,1,1"	"LDHB,miRNA,miRNA,miRNA,miRNA"
KB743471.1	420000	480000	2	4.391410803	1814	1971	"miR-5590-3p_hsa-miR-5590-3p,miR-1805*_tgu-miR-1805*,miR-1805-5p_gga-miR-1805-5p,miR-4666a-5p_hsa-miR-4666a-5p,ENSAPLT00000005825,ENSAPLT00000006042"	"1,1,1,1,7,8"	"miRNA,miRNA,miRNA,miRNA,<103348-PTH1R,>40916+MYL3"
KB743523.1	120000	200000	3	4.262695475	638	822	"novel_mir_143,novel_mir_839,miR-3918_hsa-miR-3918,miR-1782_gga-miR-1782"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB743543.1	380000	420000	1	4.330880641	1224	1224	"bantam*_cqu-bantam*,miR-3382_bmo-miR-3382,ENSAPLT00000006672"	"1,1,3"	"miRNA,miRNA,LYST"
KB743546.1	380000	420000	1	4.12222677	1234	1234	"miR-4610_pma-miR-4610,ENSAPLT00000015596"	"1,7"	"miRNA,<37698-PREP"
KB743563.1	0	60000	2	4.15245925	270	281	"novel_mir_501,novel_mir_498,novel_mir_520,miR-5094_hsa-miR-5094"	"1,1,1,1"	"miRNA,miRNA,miRNA,miRNA"
KB743575.1	260000	300000	1	4.083775612	157	157	ENSAPLT00000013146	7	<5867-PHACTR1
KB743670.1	1680000	1720000	1	4.050114585	1133	1133	"miR-2437_bta-miR-2437,ENSAPLT00000010685"	"1,7"	"miRNA,<92324-PACRG"
KB743673.1	0	60000	2	6.906837174	107	123	novel_mir_972	1	miRNA
KB743712.1	0	40000	1	9.186661392	66	66	"ENSAPLT00000010295,ENSAPLT00000010315,novel_mir_866,novel_mir_612,miR-2580_dsi-miR-2580"	"1,1,1,1,1"	"RFX8,miRNA,miRNA,miRNA"
KB743728.1	180000	240000	2	4.809597247	1247	1378	"ENSAPLT00000012300,ENSAPLT00000012340,ENSAPLT00000012464,ENSAPLT00000012561,miR-1696_gga-miR-1696,novel_mir_277,miR-2842_bmo-miR-2842,ENSAPLT00000011654,miR-502-5p_hsa-miR-502-5p"	"1,1,1,1,1,1,1,5,5"	"NOLC1,ELOVL3,miRNA,miRNA,miRNA,PIK3AP1,miRNA"
KB743769.1	20000	100000	3	2.459298041	305	322	"miR-4887_bfl-miR-4887,miR-1998_cte-miR-1998,miR-4270_hsa-miR-4270,miR-4039-3p_cin-miR-4039-3p"	"1,1,1,5"	"miRNA,miRNA,miRNA,miRNA"
KB743774.1	0	40000	1	8.761019965	148	148	"ENSAPLT00000016076,miR-1562_gga-miR-1562,novel_mir_66,novel_mir_66,miR-548j_ptr-miR-548j,miR-3210_bmo-miR-3210,novel_mir_392,novel_mir_65"	"1,1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
KB743778.1	260000	300000	1	2.633263534	389	389	"miR-4001b-5p_cin-miR-4001b-5p,ENSAPLT00000001594,ENSAPLT00000005092"	"1,7,8"	"miRNA,<30819-HSPB3,>32098+ARL15"
KB743852.1	0	60000	2	4.467010217	67	89	"ENSAPLT00000006863,miR-4040-5p_cin-miR-4040-5p,miR-3503_sja-miR-3503"	"1,1,1"	"miRNA,miRNA"
KB743867.1	0	60000	2	4.031306214	175	198	"novel_mir_1083,novel_mir_1083,novel_mir_1083,novel_mir_1083,novel_mir_1083,novel_mir_1083,miR-5681a_hsa-miR-5681a"	"1,1,1,1,1,1,1"	"miRNA,miRNA,miRNA,miRNA,miRNA,miRNA,miRNA"
